2018-02-03 17:57:09.354947 add device 1: /dev/input/event7
2018-02-03 17:57:09.356724 /dev/input/event3: 0000 0000 00000000
2018-02-03 17:57:09.356741 /dev/input/event3: 0003 0035 000001c0
2018-02-03 17:57:09.356758 /dev/input/event3: 0003 0036 0000061f
2018-02-03 17:57:09.356775 /dev/input/event3: 0000 0000 00000000
2018-02-03 17:57:09.356791 /dev/input/event3: 0003 0035 000001bc
2018-02-03 17:57:09.356808 /dev/input/event3: 0003 0036 0000060b
2018-02-03 17:57:09.356825 /dev/input/event3: 0000 0000 00000000
2018-02-03 17:57:09.356842 /dev/input/event3: 0003 0035 000001b9
2018-02-03 17:57:09.356858 /dev/input/event3: 0003 0036 000005f6
2018-02-03 17:57:09.356875 /dev/input/event3: 0003 0031 00000003
2018-02-03 17:57:09.356892 /dev/input/event3: 0000 0000 00000000
2018-02-03 17:57:09.356908 /dev/input/event3: 0003 0035 000001b7
2018-02-03 17:57:09.356925 /dev/input/event3: 0003 0036 000005df
2018-02-03 17:57:09.356942 /dev/input/event3: 0003 0030 00000005
2018-02-03 17:57:09.356958 /dev/input/event3: 0003 0031 00000004
2018-02-03 17:57:09.356975 /dev/input/event3: 0000 0000 00000000
2018-02-03 17:57:09.356997 /dev/input/event3: 0003 0035 000001b6
2018-02-03 17:57:09.357016 /dev/input/event3: 0003 0036 000005c8
2018-02-03 17:57:09.357032 /dev/input/event3: 0003 0030 00000004
2018-02-03 17:57:09.357049 /dev/input/event3: 0000 0000 00000000
2018-02-03 17:57:09.357066 /dev/input/event3: 0003 0036 000005ae
2018-02-03 17:57:09.357083 /dev/input/event3: 0003 0030 00000005
2018-02-03 17:57:09.357099 /dev/input/event3: 0000 0000 00000000
2018-02-03 17:57:09.357116 /dev/input/event3: 0003 0035 000001b7
2018-02-03 17:57:09.357133 /dev/input/event3: 0003 0036 00000592
2018-02-03 17:57:18.470770 /dev/input/event3: 0003 0031 00000005
2018-02-03 17:57:18.470836 /dev/input/event3: 0000 0000 00000000
2018-02-03 17:57:18.470858 /dev/input/event3: 0003 0035 000001b9
2018-02-03 17:57:18.470875 /dev/input/event3: 0003 0036 00000574
2018-02-03 17:57:18.470892 /dev/input/event3: 0003 0030 00000004
2018-02-03 17:57:18.470909 /dev/input/event3: 0003 0031 00000004
2018-02-03 17:57:18.470926 /dev/input/event3: 0000 0000 00000000
2018-02-03 17:57:18.470942 /dev/input/event3: 0003 0035 000001bc
2018-02-03 17:57:18.470959 /dev/input/event3: 0003 0036 00000551
2018-02-03 17:57:18.470975 /dev/input/event3: 0003 0030 00000005
2018-02-03 17:57:18.470992 /dev/input/event3: 0003 0031 00000005
2018-02-03 17:57:18.471008 /dev/input/event3: 0000 0000 00000000
2018-02-03 17:57:18.471025 /dev/input/event3: 0003 0035 000001bf
2018-02-03 17:57:18.471041 /dev/input/event3: 0003 0036 00000529
2018-02-03 17:57:18.471058 /dev/input/event3: 0003 0031 00000004
2018-02-03 17:57:18.471074 /dev/input/event3: 0000 0000 00000000
2018-02-03 17:57:18.471091 /dev/input/event3: 0003 0035 000001c1
